"rules","support","confidence","lift","count"
"{BuildingType=Multifamily LR (1-4),Neighborhood=MAGNOLIA / QUEEN ANNE} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0586816720257235,0.973333333333333,2.86586193293886,146
"{PrimaryPropertyType=Low-Rise Multifamily,Neighborhood=EAST} => {BuildingType=Multifamily LR (1-4)}",0.0606913183279743,1,2.87630057803468,151
"{BuildingType=Multifamily LR (1-4),Neighborhood=EAST} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0606913183279743,1,2.94437869822485,151
"{BuildingType=NonResidential,Neighborhood=DOWNTOWN} => {StarScore=Good}",0.0502411575562701,0.512295081967213,0.998112892665956,125
"{StarScore=Good,Neighborhood=DOWNTOWN} => {BuildingType=NonResidential}",0.0502411575562701,0.628140703517588,1.58661326939265,125
"{StarScore=Bad,PrimaryPropertyType=Mid-Rise Multifamily} => {BuildingType=Multifamily MR (5-9)}",0.0590836012861736,1,5.64172335600907,147
"{StarScore=Bad,BuildingType=Multifamily MR (5-9)} => {PrimaryPropertyType=Mid-Rise Multifamily}",0.0590836012861736,0.98,5.65716937354988,147
"{PrimaryPropertyType=Mid-Rise Multifamily,BuildingType=Multifamily MR (5-9)} => {StarScore=Good}",0.114147909967846,0.658932714617169,1.28380939230033,284
"{StarScore=Good,PrimaryPropertyType=Mid-Rise Multifamily} => {BuildingType=Multifamily MR (5-9)}",0.114147909967846,1,5.64172335600907,284
"{StarScore=Good,BuildingType=Multifamily MR (5-9)} => {PrimaryPropertyType=Mid-Rise Multifamily}",0.114147909967846,0.975945017182131,5.63376149129731,284
"{PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=3} => {BuildingType=Multifamily LR (1-4)}",0.141479099678457,1,2.87630057803468,352
"{BuildingType=Multifamily LR (1-4),NumberofFloors=3} => {PrimaryPropertyType=Low-Rise Multifamily}",0.141479099678457,0.977777777777778,2.87894806048652,352
"{StarScore=Bad,NumberofFloors=3} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0643086816720257,0.653061224489796,1.92285955802439,160
"{PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=3} => {StarScore=Good}",0.0771704180064309,0.545454545454545,1.06271801808215,192
"{StarScore=Good,NumberofFloors=3} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0771704180064309,0.680851063829787,2.00468336900415,192
"{StarScore=Bad,NumberofFloors=3} => {BuildingType=Multifamily LR (1-4)}",0.065112540192926,0.661224489795918,1.90188038221069,162
"{BuildingType=Multifamily LR (1-4),NumberofFloors=3} => {StarScore=Good}",0.0795819935691318,0.55,1.07157400156617,198
"{StarScore=Good,NumberofFloors=3} => {BuildingType=Multifamily LR (1-4)}",0.0795819935691318,0.702127659574468,2.01953019308818,198
"{PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=4} => {BuildingType=Multifamily LR (1-4)}",0.181672025723473,1,2.87630057803468,452
"{BuildingType=Multifamily LR (1-4),NumberofFloors=4} => {PrimaryPropertyType=Low-Rise Multifamily}",0.181672025723473,0.976241900647948,2.87442585658236,452
"{PrimaryPropertyType=Low-Rise Multifamily,BuildingType=Multifamily LR (1-4)} => {NumberofFloors=4}",0.181672025723473,0.53491124260355,2.34719430616867,452
"{StarScore=Bad,NumberofFloors=4} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0872186495176849,0.789090909090909,2.32338246369016,217
"{StarScore=Bad,PrimaryPropertyType=Low-Rise Multifamily} => {NumberofFloors=4}",0.0872186495176849,0.538461538461538,2.3627730294397,217
"{PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=4} => {StarScore=Good}",0.0944533762057878,0.519911504424779,1.01295209319409,235
"{StarScore=Good,NumberofFloors=4} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0944533762057878,0.804794520547945,2.36961984274945,235
"{StarScore=Good,PrimaryPropertyType=Low-Rise Multifamily} => {NumberofFloors=4}",0.0944533762057878,0.531674208144796,2.33299017612743,235
"{StarScore=Bad,NumberofFloors=4} => {BuildingType=Multifamily LR (1-4)}",0.0896302250803859,0.810909090909091,2.3324182869154,223
"{StarScore=Bad,BuildingType=Multifamily LR (1-4)} => {NumberofFloors=4}",0.0896302250803859,0.542579075425791,2.38084081068672,223
"{BuildingType=Multifamily LR (1-4),NumberofFloors=4} => {StarScore=Good}",0.0964630225080386,0.518358531317495,1.00992641027246,240
"{StarScore=Good,NumberofFloors=4} => {BuildingType=Multifamily LR (1-4)}",0.0964630225080386,0.821917808219178,2.36408266687782,240
"{StarScore=Good,BuildingType=Multifamily LR (1-4)} => {NumberofFloors=4}",0.0964630225080386,0.52863436123348,2.31965130643545,240
"{StarScore=Bad,PrimaryPropertyType=Low-Rise Multifamily} => {BuildingType=Multifamily LR (1-4)}",0.161977491961415,1,2.87630057803468,403
"{StarScore=Bad,BuildingType=Multifamily LR (1-4)} => {PrimaryPropertyType=Low-Rise Multifamily}",0.161977491961415,0.980535279805353,2.88706719071683,403
"{PrimaryPropertyType=Low-Rise Multifamily,BuildingType=Multifamily LR (1-4)} => {StarScore=Good}",0.177652733118971,0.523076923076923,1.01911933016083,442
"{StarScore=Good,PrimaryPropertyType=Low-Rise Multifamily} => {BuildingType=Multifamily LR (1-4)}",0.177652733118971,1,2.87630057803468,442
"{StarScore=Good,BuildingType=Multifamily LR (1-4)} => {PrimaryPropertyType=Low-Rise Multifamily}",0.177652733118971,0.973568281938326,2.86655371060657,442
"{StarScore=Bad,PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=3} => {BuildingType=Multifamily LR (1-4)}",0.0643086816720257,1,2.87630057803468,160
"{StarScore=Bad,BuildingType=Multifamily LR (1-4),NumberofFloors=3} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0643086816720257,0.987654320987654,2.90802834392578,160
"{PrimaryPropertyType=Low-Rise Multifamily,BuildingType=Multifamily LR (1-4),NumberofFloors=3} => {StarScore=Good}",0.0771704180064309,0.545454545454545,1.06271801808215,192
"{StarScore=Good,PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=3} => {BuildingType=Multifamily LR (1-4)}",0.0771704180064309,1,2.87630057803468,192
"{StarScore=Good,BuildingType=Multifamily LR (1-4),NumberofFloors=3} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0771704180064309,0.96969696969697,2.85515510130895,192
"{StarScore=Bad,PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=4} => {BuildingType=Multifamily LR (1-4)}",0.0872186495176849,1,2.87630057803468,217
"{StarScore=Bad,BuildingType=Multifamily LR (1-4),NumberofFloors=4} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0872186495176849,0.973094170403587,2.86515774670311,217
"{StarScore=Bad,PrimaryPropertyType=Low-Rise Multifamily,BuildingType=Multifamily LR (1-4)} => {NumberofFloors=4}",0.0872186495176849,0.538461538461538,2.3627730294397,217
"{PrimaryPropertyType=Low-Rise Multifamily,BuildingType=Multifamily LR (1-4),NumberofFloors=4} => {StarScore=Good}",0.0944533762057878,0.519911504424779,1.01295209319409,235
"{StarScore=Good,PrimaryPropertyType=Low-Rise Multifamily,NumberofFloors=4} => {BuildingType=Multifamily LR (1-4)}",0.0944533762057878,1,2.87630057803468,235
"{StarScore=Good,BuildingType=Multifamily LR (1-4),NumberofFloors=4} => {PrimaryPropertyType=Low-Rise Multifamily}",0.0944533762057878,0.979166666666667,2.88303747534517,235
"{StarScore=Good,PrimaryPropertyType=Low-Rise Multifamily,BuildingType=Multifamily LR (1-4)} => {NumberofFloors=4}",0.0944533762057878,0.531674208144796,2.33299017612743,235
